100
100
1 15
2 16
3 9
4 2
5 16
6 14
7 3
8 2
9 10
10 3
11 6
12 15
13 8
14 14
15 14
16 17
17 20
18 5
19 6
20 13
21 2
22 18
23 18
24 12
25 6
26 4
27 1
28 13
29 18
30 14
31 13
32 5
33 9
34 13
35 6
36 4
37 18
38 20
39 17
40 7
41 2
42 14
43 2
44 2
45 19
46 7
47 18
48 19
49 4
50 15
51 3
52 5
53 12
54 1
55 8
56 9
57 16
58 9
59 13
60 14
61 2
62 17
63 10
64 2
65 2
66 7
67 17
68 19
69 7
70 5
71 18
72 20
73 18
74 11
75 1
76 17
77 17
78 10
79 7
80 20
81 4
82 9
83 16
84 7
85 1
86 4
87 7
88 17
89 12
90 20
91 2
92 5
93 8
94 3
95 6
96 9
97 9
98 14
99 20
100 15
